date,dominant
2007-08-23,M0801
2007-08-24,M0805
2007-08-27,M0805
2007-08-28,M0805
2007-08-29,M0805
2007-08-30,M0805
2007-08-31,M0805
2007-09-03,M0805
2007-09-04,M0805
2007-09-05,M0805
2007-09-06,M0805
2007-09-07,M0805
2007-09-10,M0805
2007-09-11,M0805
2007-09-12,M0805
2007-09-13,M0805
2007-09-14,M0805
2007-09-17,M0805
2007-09-18,M0805
2007-09-19,M0805
2007-09-20,M0805
2007-09-21,M0805
2007-09-24,M0805
2007-09-25,M0805
2007-09-26,M0805
2007-09-27,M0805
2007-09-28,M0805
2007-10-08,M0805
2007-10-09,M0805
2007-10-10,M0805
2007-10-11,M0805
2007-10-12,M0805
2007-10-15,M0805
2007-10-16,M0805
2007-10-17,M0805
2007-10-18,M0805
2007-10-19,M0805
2007-10-22,M0805
2007-10-23,M0805
2007-10-24,M0805
2007-10-25,M0805
2007-10-26,M0805
2007-10-29,M0805
2007-10-30,M0805
2007-10-31,M0805
2007-11-01,M0805
2007-11-02,M0805
2007-11-05,M0805
2007-11-06,M0805
2007-11-07,M0805
2007-11-08,M0805
2007-11-09,M0805
2007-11-12,M0805
2007-11-13,M0805
2007-11-14,M0805
2007-11-15,M0805
2007-11-16,M0805
2007-11-19,M0805
2007-11-20,M0805
2007-11-21,M0805
2007-11-22,M0805
2007-11-23,M0805
2007-11-26,M0805
2007-11-27,M0805
2007-11-28,M0805
2007-11-29,M0805
2007-11-30,M0805
2007-12-03,M0805
2007-12-04,M0805
2007-12-05,M0805
2007-12-06,M0805
2007-12-07,M0805
2007-12-10,M0805
2007-12-11,M0805
2007-12-12,M0805
2007-12-13,M0805
2007-12-14,M0809
2007-12-17,M0809
2007-12-18,M0809
2007-12-19,M0809
2007-12-20,M0809
2007-12-21,M0809
2007-12-24,M0809
2007-12-25,M0809
2007-12-26,M0809
2007-12-27,M0809
2007-12-28,M0809
2008-01-02,M0809
2008-01-03,M0809
2008-01-04,M0809
2008-01-07,M0809
2008-01-08,M0809
2008-01-09,M0809
2008-01-10,M0809
2008-01-11,M0809
2008-01-14,M0809
2008-01-15,M0809
2008-01-16,M0809
2008-01-17,M0809
2008-01-18,M0809
2008-01-21,M0809
2008-01-22,M0809
2008-01-23,M0809
2008-01-24,M0809
2008-01-25,M0809
2008-01-28,M0809
2008-01-29,M0809
2008-01-30,M0809
2008-01-31,M0809
2008-02-01,M0809
2008-02-04,M0809
2008-02-05,M0809
2008-02-13,M0809
2008-02-14,M0809
2008-02-15,M0809
2008-02-18,M0809
2008-02-19,M0809
2008-02-20,M0809
2008-02-21,M0809
2008-02-22,M0809
2008-02-25,M0809
2008-02-26,M0809
2008-02-27,M0809
2008-02-28,M0809
2008-02-29,M0809
2008-03-03,M0809
2008-03-04,M0809
2008-03-05,M0809
2008-03-06,M0809
2008-03-07,M0809
2008-03-10,M0809
2008-03-11,M0809
2008-03-12,M0809
2008-03-13,M0809
2008-03-14,M0809
2008-03-17,M0809
2008-03-18,M0809
2008-03-19,M0809
2008-03-20,M0809
2008-03-21,M0809
2008-03-24,M0809
2008-03-25,M0809
2008-03-26,M0809
2008-03-27,M0809
2008-03-28,M0809
2008-03-31,M0809
2008-04-01,M0809
2008-04-02,M0809
2008-04-03,M0809
2008-04-07,M0809
2008-04-08,M0809
2008-04-09,M0809
2008-04-10,M0809
2008-04-11,M0809
2008-04-14,M0809
2008-04-15,M0809
2008-04-16,M0809
2008-04-17,M0809
2008-04-18,M0809
